London Bridge Underground Station;LON:JN
Tooting Bec Underground Station;TBE:N
Becontree;BEC:D
Uxbridge;UXB:MP
Bow Road;BWR:DH
Monument;MON:Dc
Willesden Green;WLG:J
Ealing Common;ECM:DP
Gloucester Road;GRD:DcP
Northfields;NFD:P
Edgware Road (Bakerloo Line);ERB:B
Barking;BKG:DH
Greenford;GFD:C
Vauxhall;VUX:V
Marble Arch;MAR:C
White City;WCT:C
Russell Square;RSQ:P
Shepherd's Bush (Central Line);SBC:C
Blackhorse Road;BHR:V
Colliers Wood;CLW:MN
Old Street;OLD:N
Hatton Cross;HTX:P
Kew Gardens;KEW:D
